person_id,full_name,phone_number,address,age,gang_id,role,is_hidden_coordinator
P001039,Patty Walker,+1-722-785-7042x4025,"939 Stafford Mount Apt. 411, Woodsside, ND 09564",55,G009,associate,False
P000908,John Grant,704-520-7675x1497,"7330 Kristina Row, New Melissaton, WY 54114",22,G008,boss,False
P000042,Eric Morgan,621-581-8835x52312,"127 Webster Trace, Maldonadoshire, SD 83770",58,G002,member,False
P004917,Mark Miles,+1-361-819-1201,"9638 Clark Parks Apt. 705, North Jameschester, SC 32083",27,,,False
P001744,Rachel Kline,430.653.7406,"33248 Jimenez Loaf, Danielside, KY 79885",55,G004,member,False
P000613,Keith Mcdonald,001-689-936-5294,"198 Tiffany Flats Suite 813, North Jonathanton, FL 46611",53,G003,member,False
P001213,Faith Owens,735.818.5176x9659,"03375 Ian Ville Suite 484, North Alan, GA 24619",37,G003,member,False
P003073,Andrea Hudson,001-640-417-7495x0354,"058 James Land, East Monicachester, WY 87312",35,G003,lieutenant,False
P001220,Brendan Duran,(500)323-9152,"PSC 3631, Box 4098, APO AE 10927",26,G010,member,False
P004330,Charles Brown,001-699-542-5151x140,"1793 Hooper Drive, North Kelseyberg, WY 91414",50,,,False
P002675,Adam Brown,668.719.4575,"8972 Diaz Keys Suite 241, North Aprilland, MD 40539",62,G005,member,False
P002024,Kevin Pruitt,845.305.6958x261,"812 Castro Causeway, West Michelle, GA 11428",24,G004,member,False
P001413,Trevor Vargas,(515)527-2597,"0891 Gloria Cape Suite 994, Haileyfurt, OR 96775",31,G003,member,False
P004914,Arthur Stewart,416-391-0982x6821,"304 Clifford Vista Apt. 035, Kylemouth, MH 32912",23,,,False
P001508,Maria Nichols,770.875.0139x9392,"Unit 7974 Box 6317, DPO AA 09289",58,G008,member,False
P000419,Christina Lewis,574.611.3257x97067,"Unit 9601 Box 0548, DPO AA 57926",52,G009,member,False
P002116,Mary Martin,3685212035,"Unit 9795 Box 1962, DPO AP 35098",63,G006,member,False
P004625,Carl Wilson,(245)478-4860x254,"168 Lowe Crossroad, New Kellyburgh, NM 85762",34,,,False
P001856,Barbara Haas,+1-524-391-2830x062,"5167 Tristan Locks, Lake Jenniferchester, AL 64916",56,G006,lieutenant,False
P000182,Kendra Miller,001-994-969-5489x9529,"343 David Mountain, Lake Melaniechester, MT 06463",62,G002,lieutenant,False
P002566,Jeff Small,001-341-954-0946,"3780 Abigail Court Suite 130, South Jacobton, OR 55312",57,G006,member,False
