transaction_id,sender_id,receiver_id,amount,currency,timestamp,channel,account_id
T0000001,P004997,P001723,28929.65,GBP,2025-12-11T08:40:10,bank_transfer,ACC-COORD-P004997
T0000002,P002758,P004999,77198.22,EUR,2025-07-08T19:12:40,bank_transfer,ACC-P002758
T0000003,P004997,P001733,29923.65,GBP,2025-04-05T18:22:30,crypto,ACC-COORD-P004997
T0000004,P000965,P004997,35373.82,EUR,2025-05-14T13:45:05,bank_transfer,ACC-P000965
T0000005,P004995,P002887,48473.22,USD,2025-10-05T15:17:58,crypto,ACC-COORD-P004995
T0000006,P002327,P004995,82164.18,USD,2025-08-22T04:40:51,bank_transfer,ACC-P002327
T0000007,P000965,P004997,46219.8,USD,2025-07-10T13:29:10,crypto,ACC-P000965
T0000008,P000515,P004995,42089.12,GBP,2025-12-13T06:48:29,bank_transfer,ACC-P000515
T0000009,P005000,P003232,43698.34,EUR,2025-02-18T06:17:23,crypto,ACC-COORD-P005000
T0000010,P000005,P004995,7586.12,EUR,2025-03-13T00:07:06,bank_transfer,ACC-P000005
T0000011,P001087,P004998,93554.2,GBP,2025-05-12T23:00:44,bank_transfer,ACC-P001087
T0000012,P001087,P004998,94670.77,EUR,2025-04-08T11:54:56,bank_transfer,ACC-P001087
T0000013,P002934,P005000,91790.35,USD,2025-11-25T00:14:26,crypto,ACC-P002934
T0000014,P005000,P000422,20863.74,EUR,2025-08-25T20:03:29,bank_transfer,ACC-COORD-P005000
T0000015,P002215,P004997,59898.64,GBP,2025-05-24T08:52:37,bank_transfer,ACC-P002215
T0000016,P005000,P003232,86780.48,GBP,2025-01-24T07:13:46,crypto,ACC-COORD-P005000
T0000017,P000433,P004999,46195.42,EUR,2025-01-01T00:05:26,crypto,ACC-P000433
T0000018,P002887,P004995,6649.1,GBP,2025-12-28T00:22:14,crypto,ACC-P002887
T0000019,P004998,P001544,23282.74,USD,2025-03-10T05:22:59,crypto,ACC-COORD-P004998
T0000020,P004998,P000600,31423.04,GBP,2025-01-06T23:45:56,crypto,ACC-COORD-P004998
T0000021,P004998,P001544,32159.57,GBP,2025-10-29T09:31:18,crypto,ACC-COORD-P004998
T0000022,P002887,P004995,35482.19,EUR,2025-08-02T20:30:11,crypto,ACC-P002887
T0000023,P000433,P004999,85051.26,EUR,2025-08-25T02:36:50,crypto,ACC-P000433
T0000024,P000600,P004998,42338.22,GBP,2025-08-01T01:42:34,crypto,ACC-P000600
T0000025,P001087,P004998,37334.71,USD,2025-04-12T06:30:01,bank_transfer,ACC-P001087
T0000026,P004998,P001087,77979.74,USD,2025-07-27T17:09:42,crypto,ACC-COORD-P004998
T0000027,P004997,P001733,50633.09,GBP,2025-11-08T12:54:23,bank_transfer,ACC-COORD-P004997
T0000028,P004998,P002164,14883.37,GBP,2025-05-01T13:35:45,crypto,ACC-COORD-P004998
T0000029,P004996,P002207,68523.94,GBP,2025-09-28T12:44:40,crypto,ACC-COORD-P004996
T0000030,P002215,P004997,15662.21,EUR,2025-11-27T08:09:56,bank_transfer,ACC-P002215
T0000031,P002758,P004999,63482.96,USD,2025-03-05T07:10:34,crypto,ACC-P002758
T0000032,P004997,P002215,58079.85,GBP,2025-04-17T15:34:40,crypto,ACC-COORD-P004997
T0000033,P000316,P004995,64410.91,USD,2025-10-12T23:19:27,bank_transfer,ACC-P000316
T0000034,P004997,P000799,32955.5,EUR,2025-01-30T18:55:48,crypto,ACC-COORD-P004997
T0000035,P002215,P004997,10946.15,USD,2025-02-22T03:02:00,bank_transfer,ACC-P002215
T0000036,P002934,P005000,67860.69,EUR,2025-11-07T14:27:50,crypto,ACC-P002934
T0000037,P004995,P002887,38467.26,USD,2025-08-27T02:40:27,bank_transfer,ACC-COORD-P004995
T0000038,P002327,P004995,67312.86,USD,2025-08-13T23:53:10,bank_transfer,ACC-P002327
T0000039,P004996,P002207,59866.78,USD,2025-05-07T09:33:56,crypto,ACC-COORD-P004996
T0000040,P004999,P000433,24290.26,USD,2025-01-21T09:13:57,crypto,ACC-COORD-P004999
T0000041,P004998,P001087,34677.23,EUR,2025-09-25T10:01:04,bank_transfer,ACC-COORD-P004998
T0000042,P004999,P000433,30087.9,EUR,2025-07-14T05:28:30,bank_transfer,ACC-COORD-P004999
T0000043,P001053,P004999,75109.02,EUR,2025-03-09T07:20:23,crypto,ACC-P001053
T0000044,P004995,P000316,32667.31,USD,2025-10-10T18:02:26,crypto,ACC-COORD-P004995
T0000045,P004997,P001723,37970.62,USD,2025-08-06T08:09:00,crypto,ACC-COORD-P004997
